"Status","URL","Redirected to","Link Text","Appears on","Time stamp"
"200 no error","https://www.volksbank-boerde-bernburg.de","","Zur Navigation springen (Enter Drücken)","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:56"
"200 no error","https://www.volksbank-boerde-bernburg.de","","Zum Hauptinhalt springen (Enter Drücken)","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:56"
"200 no error","https://www.volksbank-boerde-bernburg.de/service/rechtliche-hinweise/datenschutzhinweis.html","","Nutzungsbedingungen","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/service/rechtliche-hinweise/datenschutzhinweis.html","","Datenschutz","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/homepage.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/homepage.html","","","https://www.volksbank-boerde-bernburg.de/mein-unternehmen.html","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/ptlweb/WebPortal?bankid=2624","","Login","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/ptlweb/WebPortal?bankid=2624","","BLZ: 81069052","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-online-filiale.html","","Meine Online-Filiale","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-online-filiale.html","","MEINE ONLINE FILIALE ENTDECKEN","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen.html","","Meine Finanzen","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen.html","","MEINE FINANZEN ENTDECKEN","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/Mein-Leben.html","","Mein Leben","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/Mein-Leben.html","","MEIN LEBEN ENTDECKEN","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/mein-unternehmen.html","","Mein Unternehmen","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/mein-unternehmen.html","","MEIN UNTERNEHMEN ENTDECKEN","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1.html","","Meine Bank","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1.html","","MEINE BANK ENTDECKEN","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/konto-und-karten/girokonto-kreditkarten/infos-banking/vr-banking-app.html","","[alt]: VR-BankingApp","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/konto-und-karten/girokonto-kreditkarten/infos-banking/vr-banking-app.html","","Jetzt informieren","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/karriere/stellenangebot.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/karriere/stellenangebot.html","","JETZT BEWERBEN","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/wir-fuer-sie/aktuelles-regionales/junge-kunden/berufsstarter-gewinnspiel.html","","[alt]: Durchstarter-Gewinnspiel","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/wir-fuer-sie/aktuelles-regionales/junge-kunden/berufsstarter-gewinnspiel.html","","Jetzt informieren","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/wuensche-finanzieren/kredit/easycredit.html","","[alt]: easyCredit","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/wuensche-finanzieren/kredit/easycredit.html","","Jetzt informieren","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","http://www.vr-umfrage.de/k/Default.aspx?id=AC6504E9-894A-4F45-A200-645D2C2B95CE","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","http://www.vr-umfrage.de/k/Default.aspx?id=AC6504E9-894A-4F45-A200-645D2C2B95CE","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/ziele-und-wuensche.html","","Ziele und Wünsche","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/ziele-und-wuensche.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/konto-und-karten.html","","Konto und Karten","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/konto-und-karten.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/bauen-und-wohnen.html","","Bauen und Wohnen","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/bauen-und-wohnen.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/sparen-und-anlegen.html","","Sparen und Anlegen","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/sparen-und-anlegen.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/wuensche-finanzieren.html","","Wünsche finanzieren","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/wuensche-finanzieren.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/vorsorge-und-absichern.html","","Vorsorge und Absichern","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-finanzen/vorsorge-und-absichern.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/Mein-Leben/auto-kaufen.html","","Auto kaufen","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/Mein-Leben/auto-kaufen.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/Mein-Leben/familie-gruenden.html","","Familie gründen","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/Mein-Leben/familie-gruenden.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/Mein-Leben/haus-kaufen.html","","Haus kaufen","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/Mein-Leben/haus-kaufen.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/Mein-Leben/erbschaft-verwalten.html","","Erbschaft verwalten","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/Mein-Leben/erbschaft-verwalten.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/Aktuelles.html","","Aktuelles","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/Aktuelles.html","","","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/leitbild.html","","Image","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/leitbild.html","","[alt]: Leitbild","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/zahlen-fakten.html","","Zahlen Daten Fakten","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/zahlen-fakten.html","","[alt]: Zahlen & Fakten","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/organe-gremien.html","","Organe","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/organe-gremien.html","","[alt]: Organe & Gremien","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/filialen-ansprechpartner.html","","Filialen & Ansprechpartner","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/filialen-ansprechpartner.html","","[alt]: Filialen Ansprechpartner","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/presse.html","","Presse","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/presse.html","","[alt]: Presse","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/engagement.html","","Engagement","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/engagement.html","","[alt]: Engagement","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/karriere.html","","Karriere","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/meine-bank1/karriere.html","","[alt]: Karriere","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/service/rechtliche-hinweise/impressum.html","","Impressum","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/service/rechtliche-hinweise/impressum.html","","Impressum","https://www.volksbank-boerde-bernburg.de/mein-unternehmen.html","11.09.2017, 12:12:57"
"200 no error","https://www.volksbank-boerde-bernburg.de/service/rechtliche-hinweise/nutzungsbedingungen.html","","Nutzungsbedingungen","https://www.volksbank-boerde-bernburg.de","11.09.2017, 12:12:57"
